sample_id	tool	metric	value	unit	source_file
SRR1039509	star	Number of splices: GT/AG	8532538		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of splices: GC/AG	56495		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of splices: AT/AC	5815		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of splices: Non-canonical	12391		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Mismatch rate per base, %	0.20%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Deletion rate per base	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Deletion average length	1.51		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Insertion rate per base	0.01%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Insertion average length	1.26		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of reads mapped to multiple loci	802296		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of reads mapped to multiple loci	3.90%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of reads mapped to too many loci	5863		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of reads mapped to too many loci	0.03%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	Number of reads unmapped: too many mismatches	0		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
SRR1039509	star	% of reads unmapped: too many mismatches	0.00%		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/02_alignment/SRR1039509/SRR1039509.Log.final.out
