sample_id	tool	metric	value	unit	source_file
SRR1039512	fastp	before_filtering.read2_mean_length	63		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	before_filtering.gc_content	0.497954		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.total_reads	54392548		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.total_bases	3424572770		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.q20_bases	3377210337		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.q30_bases	3280352523		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.q20_rate	0.98617		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.q30_rate	0.957887		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.read1_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.read2_mean_length	62		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039512	fastp	after_filtering.gc_content	0.495635		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039512/SRR1039512.fastp.json
SRR1039513	fastp	before_filtering.total_reads	33646176		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.total_bases	2119709088		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
SRR1039513	fastp	before_filtering.q20_bases	2044488665		/root/autodl-tmp/abi-real-data/results/rnaseq_airway_abi_test_20260809_12vcpu_62gb_retry1/01_qc/SRR1039513/SRR1039513.fastp.json
