sample_id	r1	r2	group	project	country	continent	r1_url	r2_url	r1_md5	r2_md5	r1_bytes	r2_bytes
SRR6504903	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504903_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504903_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504903/SRR6504903_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504903/SRR6504903_2.fastq.gz	ed7e1d1a9396de9851c2227277a88466	c14256bcd286db6e21b60eeac30a3670	3335471069	3770665284
SRR6504904	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504904_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504904_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504904/SRR6504904_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504904/SRR6504904_2.fastq.gz	5d1b77e9d856519c437680aea09ff8aa	ff37f1b96ceb218ff04111272decf7ef	2726897802	4103533031
SRR6504918	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504918_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504918_2.fastq.gz	NC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504918/SRR6504918_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504918/SRR6504918_2.fastq.gz	b7f1ce79af219eb9f8cfa714ffdd37f9	790bfb5f0df658dc727d20cbac1b615d	2147851358	2482199789
SRR6504847	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504847_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504847_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/007/SRR6504847/SRR6504847_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/007/SRR6504847/SRR6504847_2.fastq.gz	d88c450a823d07e911af03609f91b059	13fc15ceb6616c4a97ba5dc1bc0d047e	2297194255	2665647792
SRR6504848	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504848_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504848_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504848/SRR6504848_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504848/SRR6504848_2.fastq.gz	b701566088adf14fe3b7c41accb32d3b	b599af4af8eeae0292512bfd4fc1f7a3	1834323526	2218221721
SRR6504851	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504851_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504851_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504851/SRR6504851_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504851/SRR6504851_2.fastq.gz	427cdf30ba5b65fa226ae503241d264e	16d0da8c8559ea1b443fe61f389978e2	1971168061	2254982937
SRR6504852	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504852_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504852_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504852/SRR6504852_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504852/SRR6504852_2.fastq.gz	7f6b05840c3f210976a68b400d15b4fb	145c5664b7d4e9b4df4a0a272340dd2b	1912223422	2286903208
SRR6504853	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504853_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504853_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504853/SRR6504853_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504853/SRR6504853_2.fastq.gz	f7db62ee8e941acf08fab7093464ebda	9dfcb87ff5336f7e7d11521a5791f5fc	1931500023	2177964004
SRR6504854	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504854_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504854_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504854/SRR6504854_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504854/SRR6504854_2.fastq.gz	aced5dd1b1f376adb155895a82fcdb09	e2e592d367093d6f1395ab67e36b848f	3354208351	3889227804
SRR6504855	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504855_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504855_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504855/SRR6504855_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504855/SRR6504855_2.fastq.gz	1ae40cda0bcd507c684f6df7ceba1846	a7d4404785212321888a5a5762aa1e26	1799486202	2097808776
SRR6504856	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504856_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504856_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504856/SRR6504856_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504856/SRR6504856_2.fastq.gz	2861f1248e75a0505148414683a31591	282324959ffa8b39186d04f96e190029	2699923019	3200987578
SRR6504857	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504857_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504857_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/007/SRR6504857/SRR6504857_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/007/SRR6504857/SRR6504857_2.fastq.gz	ca7b87a96a25f657585f23d019ace37c	ad95c8831eeb42c28d9fd167a2308ded	2052678128	2321418715
SRR6504858	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504858_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504858_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504858/SRR6504858_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504858/SRR6504858_2.fastq.gz	6209c10faf0bf6047fca4669fa23898b	a8c1f4b3ee05c2331a008278bc8ec52e	3316439084	3901835276
SRR6504859	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504859_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504859_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504859/SRR6504859_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504859/SRR6504859_2.fastq.gz	121992cfc117542c3938dd6878819286	4c153c853439ee08ce20fcd08cd298c2	4871262253	5860609721
SRR6504860	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504860_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504860_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504860/SRR6504860_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504860/SRR6504860_2.fastq.gz	3ccad9f6c4759e267f40e30efed411e5	76e3f410cd52de630ad4111153c7f36c	3186437523	3238512640
SRR6504861	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504861_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504861_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504861/SRR6504861_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504861/SRR6504861_2.fastq.gz	b39cf7ffb8bc9d33dd8b5cf28de23b08	95c9ec3be3e5586693aaa1d464cb6c31	4610441929	5420781071
SRR6504862	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504862_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504862_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504862/SRR6504862_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504862/SRR6504862_2.fastq.gz	8c0cef8f78de7a39ca31af03daf5a1ae	7580da81d88d20cbf6e3d13856f126f9	1783146733	2146281050
SRR6504863	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504863_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504863_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504863/SRR6504863_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504863/SRR6504863_2.fastq.gz	7db632ca058db4ddbbda786f916a14ba	c6948b3eee40369725854f542b87e0aa	1635971823	2127414595
SRR6504864	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504864_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504864_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504864/SRR6504864_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504864/SRR6504864_2.fastq.gz	3a6106812cceec8e6e595454ff061c67	3408d884d94187d36ae93ef00967384f	1670809533	2090784449
SRR6504865	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504865_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504865_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504865/SRR6504865_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504865/SRR6504865_2.fastq.gz	ed3b15ff2fd3e198e87f2e8c13f0c0a3	540914c872afe39af7f6cd0092fde7a6	2031159004	2543509471
SRR6504866	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504866_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504866_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504866/SRR6504866_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504866/SRR6504866_2.fastq.gz	f5a49232ebd85b1021e937532b961ce3	d2487a322fc0fa2410f2894a42de8cf4	2943209498	3565303807
SRR6504869	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504869_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504869_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504869/SRR6504869_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504869/SRR6504869_2.fastq.gz	c58ac1768f6be2a1612ab398c1e32f05	1fa5135a776bac8c5f1348b222615258	1953970346	2191980385
SRR6504870	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504870_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504870_2.fastq.gz	CD	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504870/SRR6504870_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504870/SRR6504870_2.fastq.gz	2f1daa006e91e05ec847da63d1796665	8d7cbe21bfe2df9eed08a6270580dd1b	2847606249	3202450750
SRR6504843	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504843_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504843_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504843/SRR6504843_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/003/SRR6504843/SRR6504843_2.fastq.gz	ed47c0353550eef137ef856051f22979	45dc3de5a4c3af48c55ade4b18669971	2614296799	2816587528
SRR6504846	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504846_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504846_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504846/SRR6504846_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/006/SRR6504846/SRR6504846_2.fastq.gz	a595e027072f3dce332a0ca79a38bd63	fbbf241bcdd1579e51b3905065d9121b	2316900145	2814644114
SRR6504849	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504849_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504849_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504849/SRR6504849_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504849/SRR6504849_2.fastq.gz	66da53ee2f2fa14e7f32b38307f34c3b	4fa8c79abb817fd480e92ee020d8f078	1882809647	2101212146
SRR6504850	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504850_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504850_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504850/SRR6504850_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/000/SRR6504850/SRR6504850_2.fastq.gz	a1b6dd42c2973a238bcc1fadcad0eb13	eccd07c03a02e1207b3e4058e65ebcab	1806841708	1989490474
SRR6504868	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504868_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504868_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504868/SRR6504868_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/008/SRR6504868/SRR6504868_2.fastq.gz	597bd5f9bbb16e87230e25b7357d6ee8	83f261e7c5b4a19785a3f569b9558b20	1990847201	2266389671
SRR6504871	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504871_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504871_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504871/SRR6504871_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504871/SRR6504871_2.fastq.gz	32ae3b6d73a5c18aeae7d0474d198ea1	03df0485ced36d66929d9f926b5ec724	2105174122	2313275029
SRR6504872	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504872_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504872_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504872/SRR6504872_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504872/SRR6504872_2.fastq.gz	285b90fc89d15c35f00f4a2820a3159c	44a5e016067f89476beb68ba099bbb00	2340881595	2747191694
SRR6504874	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504874_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504874_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504874/SRR6504874_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/004/SRR6504874/SRR6504874_2.fastq.gz	a29d7613aba8fd1baf4058cb23f934d4	6224b229eff24e5f510371cd1210073a	1837314495	2816079921
SRR6504875	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504875_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504875_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504875/SRR6504875_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/005/SRR6504875/SRR6504875_2.fastq.gz	072a346fc05c7dec1392a3e22d977f25	3144181ae55ae3f6d94546ceff57299a	1226830776	1290381764
SRR6504879	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504879_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504879_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504879/SRR6504879_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/009/SRR6504879/SRR6504879_2.fastq.gz	245ec46cd414996ce29bf31454039104	65fc2d8d60dd344680859bb5cd95588a	8359769359	9523930904
SRR6504882	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504882_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504882_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504882/SRR6504882_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504882/SRR6504882_2.fastq.gz	b532fbaa855b17afbc55eed6afde34f0	e671d79326cb6c8e511ce94d9c16233d	10347474178	11712739146
SRR6504901	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504901_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504901_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504901/SRR6504901_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/001/SRR6504901/SRR6504901_2.fastq.gz	5443777b4af646010e29da7adc7facad	b38bcdd4c5af743f5fdf24f8afaae623	1436705014	2199568473
SRR6504902	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504902_1.fastq.gz	/root/autodl-tmp/abi-real-data/raw/easymeta_ibd_srp131166_core53/SRR6504902_2.fastq.gz	UC	SRP131166	China	Asia	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504902/SRR6504902_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR650/002/SRR6504902/SRR6504902_2.fastq.gz	fb16bc1753d44ce9b82b3d1f4f748608	18d765ebabbd392661518ee7fa623224	2696450968	3150409044
